lambda,mu,average_wait_time
1,0.5,1.3228152698922535
1,0.6,1.041569830926313
1,0.7,0.8374044732034905
1,0.8,0.6967196489375518
1,0.9,0.5869698156477449
1,1,0.49875799140777366
1,1.1,0.43558179996194596
1,1.2,0.3833763555373002
1,1.3,0.33130003892426846
1,1.4,0.29597590419434566
1,1.5,0.2681681851815683
1.5,0.5,1.5179910691111629
1.5,0.6,1.1743131673277443
1.5,0.7,0.9748517752954529
1.5,0.8,0.8159103185325141
1.5,0.9,0.691728413085764
1.5,1,0.6064827751611467
1.5,1.1,0.5185512594446519
1.5,1.2,0.46209718876935896
1.5,1.3,0.40311204183920757
1.5,1.4,0.3653389920867382
1.5,1.5,0.3382454144182695
2,0.5,1.616443175247881
2,0.6,1.297284139505476
2,0.7,1.0390885645160224
2,0.8,0.8976514503134069
2,0.9,0.7609746883092575
2,1,0.6712300283393365
2,1.1,0.5886159523096386
2,1.2,0.5198381281538412
2,1.3,0.4713631072399001
2,1.4,0.4208963675680898
2,1.5,0.38592673299351204
2.5,0.5,1.6960399338643928
2.5,0.6,1.3348448122750503
2.5,0.7,1.1217175905202426
2.5,0.8,0.9387070482251122
2.5,0.9,0.8138929675559344
2.5,1,0.7001063316441805
2.5,1.1,0.6375614821933724
2.5,1.2,0.5691710428180768
2.5,1.3,0.5082233710422845
2.5,1.4,0.4656886944839204
2.5,1.5,0.41945248080787484
3,0.5,1.696860672213055
3,0.6,1.3730511708451394
3,0.7,1.1415333809844066
3,0.8,0.9955925998171699
3,0.9,0.8482943727529185
3,1,0.7559943425955813
3,1.1,0.6632060206479782
3,1.2,0.5985737201894004
3,1.3,0.5333848377164928
3,1.4,0.48189329603655956
3,1.5,0.4479137556725958
